,No,City,Place,Review,Rating,Name,Date,Raw_Review,Raw_Rating
0,1,Aamby Valley City,19 Degree North,aamby valley beautiful place clear blue skies fresh green grass family visited aamby valley celebrate mother birthday mom splendid time thanks pinky bharadwaj handling booking bombay,5,Anonymous,,Aamby valley is a beautiful place with its clear blue skies and fresh green grass. My family and I visited aamby valley to celebrate my mother's birthday. My mom had the most splendid time. Thanks to Pinky Bharadwaj for handling our booking from Bombay. Together...,gol
1,2,Abhaneri,Chand Baori (Step well),visit jaipur trip usually itinerary need ask travel agent yo include step really worth visit kind region,4,Anonymous,,This is a must visit on your Jaipur trip. It is usually not part of the itinerary and you need to ask your travel agent yo include it. The step well is really worth a visit and one of its kind in the region.,bas
2,3,Abhaneri,Harshat Mata Temple,temple situated chand baori totally ruined ruins speak past glory monument certainly worth visit,3,Anonymous,,"The temple, situated next to the Chand  Baori, is almost totally ruined. However the ruins speak of the past glory of the monument. Certainly worth a visit.",dex
3,4,Achooranam,Wayanad Tea Museum,wayanad tea museum awesome place wayanad miss tea museum tea museum situated achoor old factory converted museum building constructed information tea,4,Anonymous,,Wayanad tea museum is an awesome place.... If you are in wayanad you don't miss this tea museum.the tea museum is situated in Achoor. An old factory converted as a museum.The building was constructed in 1911.You can get all the information about tea. There are...,bas
4,5,Acharapakkam,Mazhai Malai Madha Shrine,hill shrines situated tamil nadu history place goes follows founder shrine arranged car procession honor blessed mother intercede good shower rain,5,Anonymous,,This is one of the few hill shrines situated in Tamil Nadu. The history of this place goes as follows. The founder of this shrine had arranged for a car procession in honor of Blessed Mother to intercede for the good shower of rain. When...,gol
5,6,Achrol,Moto Sport Park,say overwelhmed expecting world class service jc wanted drive time sand went smooth fiancé happy surprise,4,Anonymous,,I must say I was overwelhmed with this and was not expecting such a world class service. I had my JC which I wanted to drive for the first time in sand. It all went so smooth. My Fiancé was so happy with this surprise...,bas
6,7,Acharapakkam,Achirupakkam,hindus common belief praying lord vinayaga ganesha starting rituals getting proved lord shiva forgot pray ganesha starting war demons chariot axle broken realizes completed ritual,2,Anonymous,,"Hindus common belief of praying Lord Vinayaga ( Ganesha) before starting any rituals is getting proved here. As Lord Shiva forgot to pray Ganesha before starting a war on the demons, his chariot's axle broken into two. Then he realizes and completed the ritual to...",fuk
7,8,Adilabad,Basar Saraswati Temple,visited th october akshraabyasam daughter really great place visit thanks trip advisor,5,Anonymous,,"we visited  on 14th of October to do akshraabyasam  to my daughter. Its really great place to visit. 

Thanks to trip advisor",gol
8,9,Adilabad,Kadam Dam,wife children went kadam dam hyderabad km stayed haritha resort jannaram km dam boating jungle safari kawal tiger sanctuary lots,3,Anonymous,,"On 17/7/17 Me with my Wife and 4 children went to Kadam Dam from Hyderabad which is around 280 km. and Stayed in Haritha Resort Jannaram around 25 KM from Dam, we did boating and Jungle Safari in Kawal Tiger Sanctuary, there are lots of...",dex
9,10,Adilabad,Kawal Wildlife Sanctuary,forest dense sighting animals difficult spot deers nilgai wild boars langurs saw pug marks tiger initially people feel tensed start safari safari timings pm,2,Anonymous,,"The forest is very dense and sighting animals is difficult. We could spot deers, nilgai,wild boars and langurs. We even saw PUG marks of tiger. Initially people may feel tensed at the start of safari. Safari timings 6am to 5pm.",fuk
10,11,Adilabad,Fun Park,indoor play house kids adults old bowling alley indoor cricket vr games soft play area arcade games party hall food court things,5,Anonymous,,"Indoor play house for kids , adults and old. Bowling alley, indoor cricket , VR games, soft play area, arcade games, party hall, food court and many things.",gol
11,12,Adilabad,Gudem Satyanarayana Swamy Temple,nice weather great god peoples come villages temple really enjoyed friends thank god,5,Anonymous,,Nice weather great god so many peoples come Around The villages this Temple I really enjoyed with my friends thank you god,gol
12,13,Adilabad,Jainath Temple,sri narayan swamy temple known jainath temple ancient temple built pallava chiefs temple popular jain style architecture village called jainath pillars inside temple extensive carved beautiful sculptures,5,Anonymous,,"Sri Narayan Swamy Temple also known as Jainath Temple is an ancient temple built by Pallava chiefs. This temple is also popular for its Jain style architecture, thus, the village is called Jainath. The pillars inside the temple are extensive carved with beautiful sculptures. The...",gol
13,14,Adilabad,Kalwa Narsimha Swamy Temple,good place visit really love god friends family really lot things want wish comes true,5,Anonymous,,It's a very good place to visit I really love this god very much my friends and my family really a lot of things here if you want to wish anything its comes true,gol
14,15,Adilabad,Kuntala Waterfall,amazing view adilabad kms stayed hotel ravi teja wake morning reach worth,4,Anonymous,,"Amazing view , from adilabad it is around 50 kms. I stayed in HOTEL RAVI TEJA they wake up me in Morning 5:00 AM we reach there by 6:30 Am it is worth to go",bas
15,16,Adilabad,Kadile Papahareshwar Temple,great weather visit place really enjoyed friends thank god want visit time,5,Anonymous,,Great weather to visit this place I really enjoyed with my friends thank god I want to visit once more time,gol
16,17,Adilabad,Pochera Waterfalls,really fun great time water bathing enjoying really fun summer,5,Anonymous,,"It was really fun over there, we had a great time in water bathing and enjoying, really its more fun in summer",gol
17,18,Adimaly,Indian Spices & Herbal Garden,garden visited indian spices herbal garden interested spice plantation driver stopped route alleppey munnar entry fee rs head high lady guide,3,Anonymous,,The name of the garden we visited  was 'Indian Spices and Herbal Garden' We were very much interested in spice plantation so my driver stopped here in route from alleppey to munnar.  Entry fee was Rs 100 per head (seems high) and one lady guide...,dex
18,19,Adilabad,Pranahita Wildlife Sanctuary,animals live forest pranahitha wild life best types birds reptiles way manchiryal chennur peacefull place little bit danger reptailes nature eyes directly saffary,4,Anonymous,,Many animals are live in forest..this pranahitha wild life is best for some types of birds and reptiles also.this in the way of manchiryal to chennur.very peacefull..place.but little bit danger with reptailes...we can see the nature with our eyes directly by this saffary..,bas
19,20,Adilabad,Saptha Kund,yeah cool weather nice atmosphere ennamo place enjoy anymore place home,5,Anonymous,,Yeah cool weather nice atmosphere Ennamo this place to enjoy anymore just what's the place and go in your home,gol
20,21,Adilabad,Sivaram Wildlife Sanctuary,want shivaram jungle lions water crocodile wildlife animals appear like deer fox cheaters,3,Anonymous,,If you want to see Shivaram jungle you will see lions water in crocodile so many wildlife animals appear like deer Fox cheaters so many,dex
21,22,Adipur,Somaiya Kala Vidya,took day embroidery class skv lovely experience got personal attention different teachers learned basic techniques soof rabari embroidery teachers staff skf kind,5,Anonymous,,"I took a 5 day embroidery class with SKV, and it was such a lovely experience. I got personal attention from 3 different teachers, and learned the basic techniques of Soof and Rabari embroidery. The teachers and staff at SKF are all so kind and...",gol
22,23,Adilabad,Sathnala Dam,attractive location visit place enjoyed lot family members evening time attractive water lihts care selfies childrens bacaus hevy water,5,Anonymous,,"Very attractive location to visit this place.
I enjoyed a lot with my family members....in the evening time it was very attractive with water and lihts.take care with selfies and also with childrens why bacaus hevy water is here...",gol
23,24,Adipur,Sant Lilashah Kutiya,seen place door rooms bricks bricks built holy samadhi sai lilashah ji true yogiraj sevamurti schools colleges goushala asrhrams seva kendra india,4,Anonymous,,"I seen this place without door 2 rooms before 5/11/73 after bricks by bricks it’s built holy samadhi of Sai Lilashah ji who was true Yogiraj , Sevamurti in his name more than 200 schools , colleges , Goushala Asrhrams & seva Kendra in india...",bas
24,25,Adipur,Gandhi Samadhi,gandhi samadhi peaceful place samadhi gandhiji people came history,4,Anonymous,,Gandhi Samadhi is such a peaceful place. where samadhi of Gandhiji is here. not much people came here . but it is all about history .,bas
25,26,Adoni,Adoni Fort,place actually ranamandala anjaneya swamy temple situated hillock amidst forts constructed prior vijayanagara empire steep flight steps temple atop quiet environs temple,3,Anonymous,,"So this place is actually the Ranamandala Anjaneya Swamy temple, situated on a hillock amidst the forts that were constructed prior to the Vijayanagara empire. A steep flight of steps take you to the temple. Once atop, the quiet environs of the temple, and the...",dex
26,27,Adoor,Mannadi Devi Temple,mannadi devi temple km adoor ksrtc stand goddess durga deity spiritual place,3,Anonymous,,Mannadi Devi Temple is just 16km from adoor ksrtc stand . goddess durga is the deity. very spiritual place,dex
27,28,Adoor,Trichennamangalam Mahadevar Temple,famous shiva temple regularly visit attraction temple festival kettu kazcha,4,Anonymous,,"Very famous shiva temple, i regularly visit there. Attraction of the temple is the festival and kettu kazcha.",bas
28,29,Agartala,Baramura Eco Park,nice park khowai dist tripura cover park easily hours entry fee rs sitting arrangement huge improvement required making attracting wooden bridge main entry gate,5,Anonymous,,Nice park in khowai dist of Tripura. You can cover this park easily in about 02 hours. Entry fee Rs 10 only. Some sitting arrangement are there but huge improvement is required for making it more attracting. One wooden bridge after the main entry gate...,gol
29,30,Agartala,Benu Ban Bihari Temple,good places visit town stress free day nice beautiful ambience holiness air,5,Anonymous,,"One of the good places to visit in town on a stress free day, had nice and beautiful ambience with holiness in the air.",gol
30,31,Agartala,Fourteen Goddess Temple,temple watch visit time june bengali ashar month huge mela organised near temple lasts days personally recommend visit time,4,Anonymous,,"You will only see a temple Nothing else to watch or visit. But during the time of June (Bengali Ashar month) a huge Mela is organised near the temple, which lasts for 7 days. I personally would recommend you to visit it during that time.",bas
31,32,Agartala,Benuban Vihar,nice surroundings vegetation alive place beauty air place crowded park,5,Anonymous,,"Nice surroundings full of vegetation and alive place, beauty is in the air of the place, crowded park",gol
32,33,Agartala,Domboor Lake,beautiful fresh water lake clean water lot fishing happens place local fishermen good boating ride,5,Anonymous,,"It's very beautiful fresh water lake with very clean water.
Lot of fishing happens at this place by local fishermen.
Good to go on a boating ride.",gol
33,34,Agartala,Dumboor Lake,lake good boat ride avoided rainy season enjoyed summer winter,4,Anonymous,,This lake is good for boat ride but same may be avoided in rainy season and enjoyed at full in summer and winter.,bas
34,35,Agartala,Chowda Devta Temple,really place visit famous fourteen statues different deities hindu mythology nice location,4,Anonymous,,"Really a place to visit for its famous fourteen statues of different deities of Hindu Mythology, nice location",bas
35,36,Agartala,Heritage Park,located heart agartala town place appreciative seperate enclosure parking street food disorder filthiness associated park park entrance ambience brought good embossed local murals keen observation,4,Anonymous,,"Located in the Heart of Agartala town, the place has a very appreciative seperate enclosure for Parking & Street food...thereby no disorder & filthiness associated with the Park.

Park entrance ambience have been brought out good with embossed local murals.

A keen observation at just...",bas
